Park,Park_Code,Site_Name,Station_Name,Event_Date,Marker_Horizon,Observation_Number,Depth_mm,Data_Processing_Level,Observation_Type,Core_Condition,Core_Type,Core_Notes
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,A,2,25,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,C,2,22,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,A,3,25,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2014,B,3,25,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2015,C,1,9,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2015,A,1,20,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2015,B,1,15,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2015,B,2,15,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2015,A,2,22,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2015,C,2,5,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,12/1/2015,C,3,3,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,B,1,34,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,A,1,23,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,C,1,28,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,C,2,27,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,A,2,21,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,B,2,37,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,A,3,26,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,3/30/2016,C,3,22,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,A,1,13,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,C,1,25,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,B,1,21,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,B,2,21,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,C,2,25,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,A,2,15,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,A,3,14,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,C,3,21,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/5/2017,B,3,20,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,9/5/2017,B,1,30,Raw,Standard observation,Poor,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,9/5/2017,C,1,43,Raw,Standard observation,Poor,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,9/5/2017,A,1,25,Raw,Standard observation,Poor,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,9/5/2017,A,2,24,Raw,Standard observation,Poor,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,9/5/2017,C,2,45,Raw,Standard observation,Poor,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,9/5/2017,A,3,24,Raw,Standard observation,Poor,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,A,1,25,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,B,1,20,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,C,1,22,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,C,2,22,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,B,2,22,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,A,2,26,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,B,3,24,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/3/2018,C,3,22,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,C,1,3,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,B,1,3,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,A,1,2,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,A,2,1,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,B,2,3,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,C,2,4,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,C,3,3,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,B,3,2,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,A,3,1,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/8/2010,B,4,1,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,C,1,9,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,B,1,8,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,A,1,12,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,A,2,12,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,B,2,6,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,C,2,9,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,C,3,9,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,B,3,7,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/7/2011,A,3,12,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,C,1,12,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,B,1,10,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,A,1,12,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,A,2,12,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,B,2,10,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,C,2,11,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,C,3,14,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,B,3,8,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/7/2012,A,3,12,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,C,1,24,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,B,1,21,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,A,1,28,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,A,2,29,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,B,2,27,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,C,2,24,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,C,3,23,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,B,3,20,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,A,3,28,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/18/2012,B,4,23,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,A,1,15,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,C,1,20,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,B,1,25,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,B,2,23,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,C,2,21,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,A,2,19,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,A,3,19,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,C,3,20,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/20/2013,B,3,24,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,C,1,22,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,B,1,25,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,A,1,23,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,A,2,23,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,B,2,26,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,C,2,27,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,C,3,27,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,A,3,24,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,6/3/2014,A,4,19,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,A,1,26,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,C,1,22,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,B,1,23,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,B,2,25,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,C,2,28,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,A,2,26,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,A,3,28,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,C,3,23,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2014,B,3,26,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2015,A,1,25,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2015,B,1,30,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2015,C,1,30,Provisional,Standard observation,Unknown,Plug,
